(-1.8442236304449846, -2.58)
(-1.7149134063966158, -2.54)
(-1.420373451619775, -1.96)
(-1.391637846275693, -1.94)
(-1.3557183395955905, -1.88)
(-1.420373451619775, -1.87)
(-1.3197988329154882, -1.8)
(-1.2120403128751804, -1.75)
(-1.0468105821467089, -1.67)
(-1.1761208061950779, -1.66)
(-1.3197988329154882, -1.64)
(-1.233592016883242, -1.61)
(-1.1689369048590574, -1.6)
(-1.0396266808106884, -1.58)
(-1.1833047075310985, -1.58)
(-1.0108910754666063, -1.46)
(-1.1402012995149755, -1.42)
(-0.9462359634424218, -1.4)
(-0.8169257393940527, -1.3)
(-0.8169257393940527, -1.29)
(-1.0539944834827295, -1.29)
(-0.8528452460741552, -1.27)
(-0.8384774434021142, -1.26)
(-0.8600291474101758, -1.25)
(-0.9462359634424218, -1.25)
(-0.7953740353859913, -1.2)
(-0.8959486540902782, -1.16)
(-0.7881901340499707, -1.12)
(-0.7163511206897657, -1.11)
(-0.6588799100016017, -1.1)
(-0.8456613447381347, -1.09)
(-0.7163511206897657, -1.05)
(-0.6085926006494582, -1.03)
(-0.7666384300419092, -1.03)
(-0.6588799100016017, -1.01)
(-0.7810062327139503, -0.99)
(-0.7379028246978272, -0.98)
(-0.6516960086655812, -0.97)
(-0.6876155153456837, -0.97)
(-0.7594545287058887, -0.96)
(-0.7307189233618067, -0.94)
(-0.6516960086655812, -0.91)
(-0.6301443046575197, -0.89)
(-0.5511213899612941, -0.88)
(-0.6229604033214992, -0.87)
(-0.5726730939693556, -0.85)
(-0.6373282059935401, -0.84)
(-0.5008340806091506, -0.82)
(-0.4720984752650686, -0.78)
(-0.5798569953053762, -0.78)
(-0.4720984752650686, -0.76)
(-0.5152018832811917, -0.75)
(-0.4433628699209866, -0.73)
(-0.5367535872892532, -0.7)
(-0.5295696859532326, -0.69)
(-0.5439374886252736, -0.68)
(-0.5726730939693556, -0.68)
(-0.47928237660108913, -0.67)
(-0.4649145739290481, -0.66)
(-0.4577306725930276, -0.65)
(-0.4146272645769046, -0.62)
(-0.42181116591292506, -0.61)
(-0.4002594619048636, -0.6)
(-0.4505467712570071, -0.59)
(-0.4720984752650686, -0.59)
(-0.3858916592328226, -0.57)
(-0.4577306725930276, -0.55)
(-0.35715605388874055, -0.53)
(-0.4433628699209866, -0.53)
(-0.2422136325124125, -0.51)
(-0.3930755605688431, -0.48)
(-0.31405264587261755, -0.46)
(-0.27813313919251503, -0.43)
(-0.32123654720863803, -0.42)
(-0.36433995522476104, -0.41)
(-0.19192632316026903, -0.39)
(-0.2709492378564945, -0.39)
(-0.292500941864556, -0.36)
(-0.4002594619048636, -0.36)
(-0.23502973117639203, -0.35)
(-0.20629412583231, -0.33)
(-0.21347802716833053, -0.33)
(-0.27813313919251503, -0.33)
(-0.21347802716833053, -0.31)
(-0.29968484320057653, -0.3)
(-0.2422136325124125, -0.29)
(-0.29968484320057653, -0.28)
(-0.11290340846404347, -0.27)
(-0.07698390178394096, -0.26)
(-0.163190717816187, -0.26)
(-0.17037461915220747, -0.24)
(-0.1847424218242485, -0.24)
(-0.20629412583231, -0.24)
(-0.20629412583231, -0.23)
(-0.2853170405285355, -0.22)
(-0.25658143518445353, -0.21)
(-0.20629412583231, -0.19)
(-0.31405264587261755, -0.19)
(-0.09853560579200248, -0.18)
(-0.11290340846404347, -0.16)
(-0.06261609911189996, -0.13)
(-0.03388049376781794, -0.1)
(-0.07698390178394096, -0.1)
(-0.06980000044792045, -0.09)
(-0.12008730980006398, -0.09)
(-0.09853560579200248, -0.08)
(0.009222914248305077, -0.07)
(-0.1560068164801665, -0.07)
(0.04514242092840759, -0.05)
(0.01640681558432558, -0.05)
(-0.0051448884237359285, -0.04)
(0.030774618256366584, -0.02)
(0.030774618256366584, -0.02)
(-0.14882291514414597, -0.01)
(-0.019512691095776934, -0.0)
(-0.09853560579200248, -0.0)
(0.04514242092840759, 0.01)
(-0.0051448884237359285, 0.04)
(0.04514242092840759, 0.08)
(0.08106192760851011, 0.09)
(0.030774618256366584, 0.09)
(0.01640681558432558, 0.09)
(-0.0051448884237359285, 0.09)
(0.13134923696065365, 0.1)
(-0.012328789759756431, 0.1)
(0.11698143428861262, 0.11)
(0.0666941249364691, 0.11)
(0.0523263222644281, 0.11)
(-0.03388049376781794, 0.11)
(0.16726874364075617, 0.12)
(0.0523263222644281, 0.13)
(0.10261363161657162, 0.14)
(0.08106192760851011, 0.14)
(0.18882044764881767, 0.15)
(0.1457170396326946, 0.15)
(0.0666941249364691, 0.17)
(0.13134923696065365, 0.18)
(0.10979753295259212, 0.18)
(0.0666941249364691, 0.18)
(0.18163654631279713, 0.21)
(0.13134923696065365, 0.21)
(0.2247399543289202, 0.23)
(0.21755605299289965, 0.23)
(0.17445264497677665, 0.23)
(0.19600434898483815, 0.24)
(0.10979753295259212, 0.24)
(0.15290094096871515, 0.25)
(0.13134923696065365, 0.25)
(0.2031882503208587, 0.26)
(0.18882044764881767, 0.26)
(0.1457170396326946, 0.26)
(0.25347555967300217, 0.28)
(0.2893950663531047, 0.29)
(0.18163654631279713, 0.29)
(0.18163654631279713, 0.29)
(0.15290094096871515, 0.29)
(0.21755605299289965, 0.32)
(0.18163654631279713, 0.33)
(0.2893950663531047, 0.34)
(0.2462916583369817, 0.35)
(0.33968237570524823, 0.36)
(0.2606594610090227, 0.37)
(0.3037628690251457, 0.39)
(0.3253145730332072, 0.4)
(0.2822111650170842, 0.4)
(0.2965789676891252, 0.41)
(0.2822111650170842, 0.41)
(0.3109467703611662, 0.42)
(0.2965789676891252, 0.42)
(0.21037215165687917, 0.42)
(0.33968237570524823, 0.43)
(0.3037628690251457, 0.43)
(0.3037628690251457, 0.43)
(0.31813067169718673, 0.44)
(0.2965789676891252, 0.45)
(0.3109467703611662, 0.46)
(0.46180869841759675, 0.49)
(0.3684179810493302, 0.51)
(0.35405017837728925, 0.53)
(0.33968237570524823, 0.53)
(0.5192799091057608, 0.54)
(0.3684179810493302, 0.54)
(0.39715358639341225, 0.55)
(0.47617650108963777, 0.58)
(0.44025699440953525, 0.58)
(0.3468662770412687, 0.61)
(0.4474408957455558, 0.64)
(0.3253145730332072, 0.65)
(0.5264638104417813, 0.67)
(0.5264638104417813, 0.69)
(0.45462479708157627, 0.69)
(0.6414062318181093, 0.7)
(0.6126706264740274, 0.71)
(0.6557740344901504, 0.72)
(0.5839350211299453, 0.72)
(0.6629579358261709, 0.75)
(0.43307309307351477, 0.75)
(0.5551994157858633, 0.76)
(0.4905443037616788, 0.79)
(0.6485901331541298, 0.8)
(0.5192799091057608, 0.81)
(0.4689925997536173, 0.81)
(0.6916935411702528, 0.82)
(0.5839350211299453, 0.83)
(0.6054867251380068, 0.84)
(0.5264638104417813, 0.84)
(0.5551994157858633, 0.85)
(0.6414062318181093, 0.86)
(0.6342223304820889, 0.87)
(0.5983028238019863, 0.9)
(0.6916935411702528, 0.93)
(0.6126706264740274, 0.93)
(0.5695672184579044, 0.93)
(0.6342223304820889, 0.94)
(0.7276130478503554, 0.95)
(0.5695672184579044, 0.95)
(0.6629579358261709, 0.97)
(0.6485901331541298, 0.97)
(0.6126706264740274, 0.97)
(0.6988774425062734, 1.0)
(0.6988774425062734, 1.01)
(0.6485901331541298, 1.03)
(0.8281876665546424, 1.05)
(0.5767511197939248, 1.05)
(0.7994520612105604, 1.06)
(0.7563486531944374, 1.06)
(0.777900357202499, 1.08)
(0.7132452451783143, 1.1)
(0.9287622852589295, 1.11)
(0.864107173234745, 1.11)
(0.8712910745707654, 1.14)
(0.7850842585385195, 1.14)
(1.0293369039632163, 1.15)
(0.93594618659495, 1.22)
(0.9718656932750526, 1.26)
(0.8425554692266833, 1.27)
(0.9143944825868885, 1.28)
(1.0724403119793393, 1.32)
(1.0149691012911752, 1.37)
(1.0652564106433189, 1.39)
(0.993417397283114, 1.39)
(0.8712910745707654, 1.41)
(0.9431300879309705, 1.42)
(1.0221530026271959, 1.44)
(1.0149691012911752, 1.47)
(1.0724403119793393, 1.48)
(1.0437047066352574, 1.49)
(0.8856588772428065, 1.55)
(1.0149691012911752, 1.64)
(1.3597963654201595, 1.72)
(1.3454285627481186, 1.76)
(1.22330224003577, 1.83)
(1.295141253395975, 1.9)
(1.5034743921405695, 1.93)
(1.4028997734362825, 1.96)
(1.5393938988206721, 2.09)
(1.4531870827884261, 2.17)
(1.8698533602776153, 2.56)
(-2.4692230466787684, -3.54)
(-2.3399128226303993, -3.23)
(-2.074108473197641, -2.89)
(-1.8514075317810053, -2.6)
(-1.786752419756821, -2.54)
(-1.7436490117406978, -2.36)
(-1.4993963663160006, -2.14)
(-1.3988217476117135, -2.06)
(-1.4491090569638572, -2.0)
(-1.3988217476117135, -1.91)
(-1.20485641153916, -1.83)
(-1.291063227571406, -1.8)
